iter	Passed	Remaining
406	11905	17345
407	11940	17325
408	11974	17302
409	12006	17277
410	12041	17256
411	12073	17231
412	12102	17201
413	12127	17165
414	12153	17132
415	12189	17112
416	12213	17074
417	12243	17047
418	12268	17011
419	12300	16986
420	12327	16954
421	12352	16919
422	12386	16896
423	12421	16874
424	12453	16848
425	12476	16810
426	12502	16776
427	12530	16747
428	12553	16709
429	12584	16681
430	12616	16656
431	12646	16628
432	12674	16596
433	12703	16567
434	12736	16542
435	12764	16512
436	12797	16487
437	12827	16459
438	12863	16438
439	12885	16399
440	12911	16365
441	12935	16329
442	12964	16300
443	12995	16273
444	13026	16246
445	13056	16217
446	13080	16182
447	13105	16148
448	13125	16107
449	13155	16078
450	13184	16049
451	13213	16020
452	13241	15988
453	13257	15944
454	13286	15914
455	13313	15882
456	13342	15853
457	13374	15827
458	13404	15799
459	13431	15767
460	13456	15732
461	13485	15703
462	13513	15673
463	13544	15645
464	13575	15619
465	13602	15587
466	13632	15558
467	13653	15520
468	13685	15494
469	13723	15475
470	13749	15442
471	13778	15412
472	13800	15376
473	13824	15341
474	13847	15305
475	13872	15271
476	13897	15237
477	13924	15206
478	13951	15174
479	13976	15140
480	14006	15113
481	14043	15092
482	14083	15074
483	14112	15045
484	14151	15026
485	14177	14993
486	14210	14969
487	14245	14945
488	14273	14915
489	14312	14897
490	14346	14872
491	14376	14844
492	14401	14810
493	14433	14784
494	14465	14758
495	14504	14738
496	14532	14708
497	14561	14677
498	14585	14643
499	14614	14614
500	14655	14596
501	14679	14562
502	14717	14541
503	14735	14501
504	14762	14470
505	14794	14443
506	14813	14404
507	14837	14370
508	14864	14338
509	14899	14315
510	14923	14280
511	14955	14254
512	14982	14222
513	15015	14197
514	15036	14160
515	15065	14130
516	15095	14102
517	15128	14077
518	15154	14044
519	15176	14009
520	15207	13981
521	15235	13951
522	15267	13925
523	15295	13893
524	15327	13867
525	15357	13838
526	15388	13811
527	15417	13781
528	15446	13753
529	15477	13724
530	15505	13695
531	15536	13667
532	15562	13635
533	15588	13603
534	15619	13575
535	15647	13545
536	15681	13520
537	15703	13485
538	15738	13460
539	15767	13431
540	15797	13403
541	15828	13375
542	15860	13348
543	15888	13318
544	15914	13286
545	15946	13259
546	15969	13225
547	15993	13191
548	16015	13156
549	16042	13125
550	16070	13095
551	16107	13073
552	16138	13044
553	16163	13012
554	16196	12986
555	16228	12959
556	16258	12930
557	16287	12901
558	16316	12872
559	16352	12848
560	16377	12816
561	16402	12783
562	16433	12755
563	16459	12724
564	16484	12691
565	16506	12656
566	16531	12624
567	16557	12593
568	16588	12565
569	16617	12535
570	16658	12515
571	16695	12492
572	16726	12464
573	16762	12440
574	16792	12411
575	16831	12390
576	16858	12359
577	16902	12340
578	16934	12313
579	16983	12298
580	17015	12271
581	17047	12243
582	17076	12214
583	17105	12184
584	17135	12156
585	17165	12127
586	17188	12093
587	17218	12064
588	17259	12043
589	17297	12020
590	17329	11992
591	17359	11963
592	17387	11933
593	17416	11904
594	17441	11871
595	17468	11841
596	17503	11815
597	17530	11784
598	17551	11749
599	17581	11720
600	17601	11685
601	17627	11654
602	17654	11622
603	17687	11596
604	17716	11566
605	17743	11536
606	17778	11510
607	17811	11484
608	17832	11449
609	17860	11418
610	17885	11387
611	17915	11358
612	17939	11325
613	17965	11294
614	17992	11263
615	18015	11230
616	18044	11200
617	18070	11169
618	18097	11139
619	18125	11109
620	18151	11078
621	18185	11051
622	18216	11023
623	18244	10993
624	18274	10964
625	18306	10937
626	18341	10911
627	18373	10883
628	18405	10856
629	18436	10827
630	18463	10797
631	18494	10768
632	18521	10738
633	18552	10709
634	18574	10676
635	18604	10647
636	18637	10620
637	18669	10593
638	18697	10563
639	18721	10530
640	18751	10502
641	18785	10475
642	18816	10447
643	18841	10415
644	18872	10387
645	18897	10355
646	18930	10328
647	18967	10303
648	18995	10273
649	19021	10242
650	19069	10223
651	19112	10201
652	19142	10172
653	19166	10140
654	19199	10112
655	19227	10082
656	19261	10055
657	19308	10035
658	19350	10012
659	19382	9984
660	19412	9956
661	19445	9928
662	19481	9902
663	19506	9870
664	19539	9843
665	19560	9809
666	19598	9784
667	19628	9755
668	19651	9723
669	19673	9689
670	19694	9656
671	19728	9629
672	19757	9600
673	19794	9573
674	19826	9545
675	19862	9519
676	19889	9489
677	19921	9461
678	19943	9428
679	19964	9395
680	19985	9361
681	20011	9330
682	20050	9306
683	20097	9284
684	20131	9257
685	20160	9228
686	20191	9199
687	20216	9167
688	20239	9135
689	20264	9104
690	20293	9074
691	20319	9043
692	20346	9013
693	20375	8983
694	20415	8959
695	20449	8931
696	20473	8900
697	20500	8870
698	20523	8837
699	20564	8813
700	20593	8783
701	20611	8749
702	20640	8719
703	20661	8687
704	20694	8659
705	20724	8630
706	20751	8599
707	20784	8572
708	20806	8539
709	20836	8510
710	20862	8479
711	20889	8449
712	20918	8420
713	20946	8390
714	20974	8360
715	21000	8329
716	21024	8298
717	21056	8270
718	21082	8239
719	21115	8211
720	21147	8183
721	21169	8151
722	21201	8122
723	21231	8093
724	21264	8066
725	21299	8038
726	21329	8009
727	21356	7979
728	21394	7953
729	21424	7924
730	21449	7893
731	21481	7864
732	21513	7836
733	21557	7812
734	21580	7780
735	21610	7751
736	21639	7722
737	21667	7692
738	21687	7659
739	21717	7630
740	21746	7601
741	21777	7572
742	21817	7546
743	21844	7516
744	21875	7487
745	21905	7458
746	21934	7429
747	21967	7400
748	21992	7369
749	22027	7342
750	22064	7315
751	22092	7285
752	22126	7257
753	22148	7226
754	22174	7195
755	22203	7166
756	22232	758	2757	22267	7109
758	22302	7081
759	22338	7054
760	22368	7024
761	22397	763	2762	22425	764	2763	22456	6936
764	22493	6909
765	22520	6879
766	22550	6850
767	22576	6819
768	22603	6789
769	22634	6760
770	22664	6731
771	22698	6703
772	22740	6677
773	22766	6647
774	22793	6617
775	22824	6588
776	22859	6560
777	22892	6532
778	22922	6502
779	22948	6472
780	22985	6445
781	23016	6416
782	23048	6387
783	23078	6358
784	23103	6327
785	23127	6296
786	23160	6268
787	23190	6239
788	23219	6209
789	23251	6180
790	23275	6150
791	23297	6118
792	23323	6088
793	23343	6056
794	23371	6026
795	23402	5997
796	23433	5968
797	23469	5940
798	23502	5912
799	23529	5882
800	23557	5852
801	23581	5821
802	23617	5794
803	23644	5764
804	23676	5735
805	23706	5705
806	23742	5678
807	23769	5648
808	23806	5620
809	23831	5590
810	23861	5560
811	23889	5531
812	23923	5502
813	23951	5473
814	23985	5444
815	24015	5415
816	24041	5384
817	24071	5355
818	24101	5326
819	24136	5298
820	24163	5268
821	24193	5238
822	24220	5209
823	24252	5180
824	24279	5150
825	24312	5121
826	24355	5094
827	24387	5066
828	24421	5037
829	24447	5007
830	24479	4978
831	24502	4947
832	24525	4916
833	24554	835	2834	24579	836	2835	24610	837	2836	24642	838	2837	24671	839	2838	24700	840	2839	24727	841	2840	24762	4681
841	24799	4653
842	24822	4622
843	24844	845	2844	24868	846	2845	24900	847	2846	24931	848	2847	24958	849	2848	24983	850	2849	25010	851	2850	25039	852	2851	25061	853	25017	4276
854	2853	25121	855	25077	4218
