iter	Logloss
0	0.663203196511	0.6377296794
2	0.610968717633	0.587929912844	0.565336447855	0.5447020925
6	0.5252385532
7	0.5078015762
8	0.4917518029	9	0.4764945491010	0.4620457551111	0.4492581161212	0.4370858371313	0.426602761414	0.4171712361515	0.4078297061616	0.3997249361717	0.3917068191818	0.3844005851919	0.3775885952020	0.3720493782121	0.3658183902222	0.360143092323	0.3557151292424	0.3502209822525	0.3457250372626	0.3416897522727	0.3372892472828	0.3338765844
29	0.3303622430	30	0.327509523131	0.3247324963232	0.3218862913333	0.3192858373434	0.31704357635	0.3181562016
36	0.3157484223
3737	0.3100320273838	0.3082705543939	0.3064530414040	0.30498671641	0.3072285113
42	0.3055681957
4343	0.30042192444	0.3027213202
4545	0.297551334446	0.296605078147	0.2990904416
448	0.2940238389449	0.293120149350	0.2961185935
51	0.2953670575
52	0.2944091985
53	0.2935834859
54	0.2928348679
55	0.2922356217
56	0.2915122063
57	0.2909161227
58	0.2902599426
59	0.2897461718
60	0.2891313232
61	0.2886799458
62	0.2881126792
63	0.2876301749
64	0.2870993101
65	0.2865412183
66	0.286092457
67	0.2857583465
68	0.2853578587
69	0.2848949031
70	0.2845440091
71	0.2842793771
72	0.2838870905
73	0.2835413748
74	0.2831905121
75	0.2827980357
76	0.28264099
77	0.2825235857
78	0.2821747063
79	0.281894333
80	0.281583961
81	0.2813262951
82	0.2810675349
83	0.2807264429
84	0.2805361805
85	0.2803149741
86	0.2800409055
87	0.2798657447
88	0.2796766053
89	0.2794866519
90	0.2793441166
91	0.2791057185
92	0.2789756015
93	0.2787832501
94	0.2785538577
95	0.2783821042
96	0.2782224004
97	0.2780707057
98	0.2778395325
99	0.2776808793
100	0.2774474932
101	0.2773569847
102	0.277170212
103	0.2770278777
104	0.2768812599
105	0.2767024436
106	0.2765472981
107	0.276369614
108	0.2762337455
109	0.2760837595
110	0.2758346242
111	0.2757282467
112	0.2755812236
113	0.2755093154
114	0.2753622423
115	0.2752582723
116	0.2751676578
117	0.2750609054
118	0.2748631015
119	0.2747378109
120	0.2746534675
121	0.2745709414
122	0.2744389177
123	0.2743664178
124	0.2742813925
125	0.2741602656
126	0.2740993725
127	0.2739774231
128	0.2738939415
129	0.2738157103
130	0.2736619403
131	0.2735575373
132	0.2735124385
133	0.2734385863
134	0.2733133549
135	0.273190788
136	0.2730670367
137	0.2730213938
138	0.2729665736
139	0.2729000646
140	0.2727849037
141	0.2726857497
142	0.2725418119
143	0.2724506812
144	0.272336299
145	0.2722267503
146	0.2721842834
147	0.2720896809
148	0.2720194244
149	0.2719363144
150	0.2717817074
151	0.2717274678
152	0.2716770713
153	0.2716280853
154	0.2716134357
155	0.2715731715
