iter	Logloss
0	0.663549055711	0.635272169222	0.610828873333	0.58766437844	0.565846405755	0.5461900678666	0.527936523777	0.512062427888	0.496179137999	0.4807659131110	0.466856979111	0.4530757605112	0.4416917611113	0.4315269221414	0.4211997031115	0.4122853211616	0.403418553117	0.3959065144118	0.3892717751119	0.38204221720220	0.3747743212121	0.368881406222	0.3630989719
23	0.3583193044
24	0.3531697409
25	0.3488210806
26	0.3444780876
27	0.3406419011
28	0.3371567545
29	0.3340358366
30	0.3307972954
31	0.3280310834
32	0.3249723754
33	0.3223122628
34	0.3199367147
35	0.317694933
36	0.3152818907
37	0.3133855051
38	0.3117038497
39	0.3098426613
40	0.3081266116
41	0.3068374379
42	0.3053690067
43	0.3052046027
44	0.3037940621
45	0.3026170838
46	0.3015531385
47	0.3004529069
48	0.2995083676
49	0.29859415
50	0.2977921679
51	0.2969849684
52	0.2962764926
53	0.2955289557
54	0.2948014648
55	0.2940201665
56	0.29349127
57	0.2927665876
58	0.292069497
59	0.2913760051
60	0.2908223809
61	0.2901974345
62	0.2896663758
63	0.2892130631
64	0.2887797385
65	0.2883302734
66	0.287932569
67	0.2875683967
68	0.2873171855
69	0.2869710233
70	0.2865452176
71	71	0.285021817272	0.2846589987373	0.2843113517474	0.2840277247575	0.283872698776	0.2835801965777	0.2832756509778	0.2830698711779	0.2828913879880	0.2826280637881	0.2823136467882	0.2820580868
83	0.2818527353
84	0.2816224194
85	0.2813268124
86	0.2811265921
87	0.2809462025
88	0.2808035464889	0.2805814666990	0.2804384261991	0.280295863
92	0.2801623733
93	0.2800401321
94	0.2799349468
95	0.279732058
96	0.2796420284
97	0.2794875648
98	0.2793354821
99	0.2791464282
100	0.2790360968
101	0.2789214551
102	0.2788443463
103	0.2786029164
104	0.2784798514
105	0.2782332283
106	0.2780882583
107	0.2780145791
1108	0.27856580831109	0.27840424411110	0.27827285111111	0.27810081111112	0.27801486311113	0.27791596111114	0.277824883115	0.277048172
1116	0.2774983723117	0.2767864886
